Timestep,Silent,Seated_Clapping,Standing_Clapping,Audience_Energy,Performance_Intensity
0,2488,0,12,0.0096,1.0
1,2491,9,0,0.0036,1.1039558454088796
2,2491,9,0,0.0036,1.2033683215379
3,2492,6,2,0.004,1.2938926261462367
4,2492,3,5,0.0052,1.371572412738697
5,2484,9,7,0.0092,1.4330127018922192
6,2474,19,7,0.0132,1.4755282581475768
7,2447,45,8,0.0244,1.4972609476841368
8,2412,80,8,0.0384,1.4972609476841368
9,2365,121,14,0.0596,1.4755282581475768
10,2309,170,21,0.0848,1.4330127018922194
11,2251,218,31,0.112,1.3715724127386972
12,2182,273,45,0.1452,1.2938926261462367
13,2111,330,59,0.1792,1.2033683215379
14,2024,403,73,0.2196,1.1039558454088796
15,1944,462,94,0.26,1.0000000000000002
16,1872,508,120,0.2992,0.8960441545911204
17,1788,572,140,0.3408,0.7966316784620999
18,1723,605,172,0.3796,0.7061073738537635
19,1686,611,203,0.4068,0.628427587261303
20,1663,608,229,0.4264,0.5669872981077808
21,1645,603,252,0.4428,0.5244717418524232
22,1620,627,253,0.4532,0.5027390523158634
23,1625,624,251,0.4504,0.5027390523158632
24,1620,603,277,0.4628,0.5244717418524232
25,1609,596,295,0.4744,0.5669872981077807
26,1601,590,309,0.4832,0.628427587261303
27,1575,649,276,0.4804,0.7061073738537633
28,1529,697,274,0.498,0.7966316784620999
29,1457,741,302,0.538,0.8960441545911205
30,1367,826,307,0.576,0.9999999999999994
31,1288,879,333,0.618,1.1039558454088794
32,1186,968,346,0.664,1.2033683215378999
33,1141,1014,345,0.6816,1.2938926261462365
34,1070,1064,366,0.7184,1.371572412738697
35,1010,1130,360,0.74,1.4330127018922192
36,964,1143,393,0.7716,1.4755282581475768
37,894,1197,409,0.806,1.4972609476841368
38,857,1209,434,0.8308,1.4972609476841368
39,804,1212,484,0.872,1.4755282581475768
40,765,1239,496,0.8924,1.4330127018922196
41,735,1253,512,0.9108,1.3715724127386977
42,734,1248,518,0.9136,1.2938926261462367
43,705,1260,535,0.932,1.2033683215379005
44,675,1280,545,0.948,1.1039558454088805
45,659,1299,542,0.9532,1.0000000000000002
46,673,1300,527,0.9416,0.8960441545911209
47,674,1291,535,0.9444,0.7966316784620998
48,656,1284,560,0.9616,0.7061073738537635
49,686,1242,572,0.9544,0.6284275872613032
50,704,1213,583,0.9516,0.5669872981077806
51,788,1142,570,0.9128,0.5244717418524233
52,915,1039,546,0.8524,0.5027390523158632
53,1072,929,499,0.7708,0.5027390523158634
54,1246,768,486,0.696,0.5244717418524232
55,1436,620,444,0.6032,0.5669872981077808
56,1579,530,391,0.5248,0.628427587261303
57,1730,446,324,0.4376,0.7061073738537633
58,1842,381,277,0.374,0.7966316784621003
59,1926,344,230,0.3216,0.8960441545911204
